Molecule,State,is_primary,conformer,energy,opt_success,no_imaginary,homo,lumo,homo_lumo_gap,dipole,max_positive_charge,max_negative_charge,charge_spread,avg_charge,crest_num_conformers,crest_energy_range,crest_energy,crest_population,excited_energy,excited_opt_success,excited_homo,excited_lumo,excited_homo_lumo_gap,excitation_energy_ev,gap_ev,energy_diff_from_neutral,homo_num,lumo_num,gap_calculated,conformational_flexibility,energy_diversity,charge_polarity,charge_intensity,has_nh2,has_oh,has_cn,has_me,has_f,is_ring,is_neutral,is_cation,is_triplet,is_primary_num,molecular_complexity,ring_count,has_5ring,has_3ring,has_7ring,has_in_group,has_out_group,has_both_groups,has_cn_alt,cn_count,has_nh2_alt,nh2_count,has_oh_alt,oh_count,has_me_alt,me_count,has_f_alt,f_count,has_sh,sh_count,has_bh2,bh2_count,has_cf3,cf3_count,has_no2,no2_count,has_ome,ome_count,has_nme2,nme2_count,has_nph3,nph3_count,has_nn+,nn+_count,total_substituents,structural_complexity,estimated_size,estimated_polarity,estimated_hydrophobicity,electron_donating_effect,electron_withdrawing_effect,net_electronic_effect,estimated_conjugation,planarity_index,homo_polarity,lumo_electronic_effect,gap_conjugation,energy_per_size,dipole_planarity,s1_t1_gap_ev,is_negative_gap
sesquifulvalene,neutral,True,conf_1,-462.9365483,True,False,-5.40962632,-2.1173190340000003,3.292307286,,0.122589,-0.071053,0.193642,-1.3636363636361506e-07,1.0,0.0,0.0,100.0,-462.9132207,True,-4.942134468,-2.1173190340000003,2.824815434,0.6347766546404352,,0.0,-5.40962632,-2.1173190340000003,3.292307286,0.6931471805599453,0.0,0.193642,0.193642,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.0,4.0,-0.5,0.0,1.0,-1.0,0.0,0.1,-21.63850528,2.1173190340000003,3.292274363256367,-462.9365483,0.0,0.7876921858000001,0
sesquifulvalene,cation,True,conf_1,-462.7547892,True,True,-6.487741988,-3.1649579340000003,3.322784054,,,,,,1.0,0.0,0.0,100.0,,,,,,,,0.181759100000022,-6.487741988,-3.1649579340000003,3.3227840539999995,0.6931471805599453,0.0,,,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.0,4.0,-0.5,0.0,1.0,-1.0,0.0,0.1,-25.950967952,3.1649579340000003,3.3227508264917343,-462.7547892,0.0,0.7968352161999999,0
sesquifulvalene,triplet,True,conf_1,-462.8894088,True,True,-4.17967104,-1.89255287,2.28711817,,,,,,1.0,0.0,0.0,100.0,,,,,,,1.28273179030039,0.0471395000000143,-4.17967104,-1.89255287,2.2871181699999994,0.6931471805599453,0.0,,,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.0,4.0,-0.5,0.0,1.0,-1.0,0.0,0.1,-16.71868416,1.89255287,2.287095299047009,-462.8894088,0.0,0.48613545099999994,0
5ring_ome_3ring_cn_out,neutral,True,conf_1,-721.35651,True,True,-5.66269234,-3.4161191560000006,2.246573184,,0.206007,-0.329284,0.535291,4.16666666668529e-08,2.0,720.38,0.0,100.0,-721.333983,True,-5.084994318000001,-3.4161191560000006,1.668875162,0.612991207799135,,0.0,-5.66269234,-3.4161191560000006,2.246573184,1.0986122886681098,6.581166044214873,0.535291,0.535291,0,0,1,1,0,1,1,0,0,1,4,2,1,1,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3,5,13.0,6.2,-0.5,1.5,3.0,-1.5,10.0,4.0,-35.108692508000004,5.124178734000001,0.2042337401511453,-55.488962307692304,0.0,0.47397195519999996,0
5ring_ome_3ring_cn_out,cation,True,conf_4,-721.1664554,True,True,-6.412094296,-3.837079514,2.575014782,,,,,,4.0,566.64,566.64,0.0,,,,,,,,0.1900545999999394,-6.412094296,-3.837079514,2.575014782,1.6094379124341005,6.341487414966337,,,0,0,1,1,0,1,0,1,0,1,4,2,1,1,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3,5,13.0,6.2,-0.5,1.5,3.0,-1.5,10.0,4.0,-39.7549846352,5.7556192710000005,0.2340920400981453,-55.47434272307692,0.0,0.5725044345999999,0
5ring_ome_3ring_cn_out,triplet,True,conf_1,-721.3345498,True,True,-5.124722962,-1.7820745860000002,3.342648376,,,,,,2.0,649.47,0.0,100.0,,,,,,,0.5975677862790963,0.0219601999999667,-5.124722962,-1.7820745860000002,3.342648376,1.0986122886681098,6.477695178518591,,,0,0,1,1,0,1,0,0,1,1,4,2,1,1,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3,5,13.0,6.2,-0.5,1.5,3.0,-1.5,10.0,4.0,-31.7732823644,2.6731118790000004,0.3038768488392283,-55.48727306153846,0.0,0.8027945128,0
f_oh_cn,neutral,True,conf_1,-841.1012,True,True,-5.031659974,-3.585918292000001,1.4457416819999995,,0.227006,-0.27549,0.502496,-1.111111111019704e-07,2.0,2513.17,0.0,100.0,-841.0926321,True,-4.598998714,-3.585918292000001,1.0130804219999996,0.2331445540600745,,0.0,-5.031659974,-3.585918292000001,1.445741681999999,1.0986122886681098,7.829698008184579,0.502496,0.502496,0,1,1,0,0,0,1,0,0,1,3,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3.5,10.5,-3.5,1.0,4.0,-3.0,3.0,0.1,-52.832429727000005,10.757754876000003,0.3614345169137075,-240.31462857142856,0.0,0.23372250459999983,0
f_oh_cn,cation,True,conf_1,-840.9359015,True,True,-6.21100205,-3.916808916,2.294193134,,,,,,2.0,2508.78,0.0,100.0,,,,,,,,0.1652984999999489,-6.21100205,-3.916808916,2.2941931340000004,1.0986122886681098,7.827950378882006,,,0,1,1,0,0,0,0,1,0,1,3,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3.5,10.5,-3.5,1.0,4.0,-3.0,3.0,0.1,-65.215521525,11.750426748,0.573546849632876,-240.26740042857145,0.0,0.48825794019999996,0
f_oh_cn,triplet,True,conf_1,-841.096073,True,False,-4.81913894,-2.142081408,2.6770575320000005,,,,,,3.0,499.5,0.0,100.0,,,,,,,0.1395128477973382,0.0051269999999021,-4.81913894,-2.142081408,2.677057532,1.3862943611198906,6.215607598755275,,,0,1,1,0,0,0,0,0,1,1,3,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3.5,10.5,-3.5,1.0,4.0,-3.0,3.0,0.1,-50.60095887,6.426244224,0.6692627098432254,-240.3131637142857,0.0,0.6031172596000001,0
cf3_oh_cn_v2,neutral,True,conf_2,-1316.3981013,True,True,-5.6142560480000006,-3.701022514,1.9132335340000004,,0.534987,-0.271654,0.8066409999999999,4.166666667249076e-08,3.0,3588.72,629.39,0.0,-1316.38952782,False,,,,0.2332963936718767,,0.0,-5.6142560480000006,-3.701022514,1.9132335340000008,1.3862943611198906,8.18582948401163,0.8066409999999999,0.8066409999999999,0,1,1,0,0,0,1,0,0,1,4,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,4,4,6.5,13.0,-1.5,1.0,6.5,-5.5,3.0,0.1,-72.985328624,20.355623827,0.4783071877320308,-202.52278481538465,0.0,0.37397006020000007,0
cf3_oh_cn_v2,cation,True,conf_2,-1316.2116766,True,True,-6.708426442,-4.037083304,2.671343138,,,,,,7.0,4669.29,180.72,0.0,,,,,,,,0.1864247000000887,-6.708426442,-4.037083304,2.671343138,2.079441541679836,8.448976447235982,,,0,1,1,0,0,0,0,1,0,1,4,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,4,4,6.5,13.0,-1.5,1.0,6.5,-5.5,3.0,0.1,-87.20954374600001,22.203958172,0.6678341149147128,-202.49410409230768,0.0,0.6014029414,0
cf3_oh_cn_v2,triplet,True,conf_1,-1316.376899,True,True,-4.941590240000001,-2.335010234,2.6065800060000006,,,,,,,,,,,,,,,,0.5769442662176468,0.0212022999999135,-4.941590240000001,-2.335010234,2.606580006000001,,,,,0,1,1,0,0,0,0,0,1,1,4,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,4,4,6.5,13.0,-1.5,1.0,6.5,-5.5,3.0,0.1,-64.24067312000001,12.842556287,0.6516433723915693,-202.51952292307692,0.0,0.5819740018000001,0
5ring_nh2_in,neutral,True,conf_1,-418.773,True,True,-4.029736226,-0.742054878,3.287681348,,0.130705,-0.179076,0.309781,5.5555555556382106e-08,1.0,0.0,0.0,100.0,-418.726415731,False,-3.977762452,-0.742054878,3.235707574,1.2676231774679598,,0.0,-4.029736226,-0.742054878,3.287681348,0.6931471805599453,0.0,0.309781,0.309781,1,0,0,0,0,1,1,0,0,1,2,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,6.5,3.0,-2.0,2.0,0.1,1.9,6.0,2.0,-12.089208678,-1.4099042682,0.4696680930455813,-64.42661538461539,0.0,0.7863044044,0
5ring_nh2_in,cation,True,conf_1,-418.6537,True,False,-4.689340562000001,-1.257983022,3.4313575400000005,,,,,,1.0,0.0,0.0,100.0,,,,,,,,0.1193000000000097,-4.689340562000001,-1.257983022,3.431357540000001,0.6931471805599453,0.0,,,1,0,0,0,0,1,0,1,0,1,2,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,6.5,3.0,-2.0,2.0,0.1,1.9,6.0,2.0,-14.068021686000002,-2.3901677418,0.4901932340096658,-64.40826153846155,0.0,0.8294072620000001,0
5ring_nh2_in,triplet,True,conf_2,-418.7398984,True,True,-3.74020693,-0.30884939,3.43135754,,,,,,3.0,1805.97,136.17,0.0,,,,,,,0.9007408782402464,0.033101600000009,-3.74020693,-0.30884939,3.43135754,1.3862943611198906,7.499406688351479,,,1,0,0,0,0,1,0,0,1,1,2,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,6.5,3.0,-2.0,2.0,0.1,1.9,6.0,2.0,-11.22062079,-0.586813841,0.4901932340096657,-64.42152283076923,0.0,0.8294072619999999,0
5ring_oh_3ring_cn_out,neutral,True,conf_1,-642.808143,True,True,-5.58650042,-3.4150307,2.17146972,,0.231738,-0.276474,0.508212,-2.5057116875220546e-18,4.0,3441.26,0.0,100.0,-642.7869243,True,-5.055333892,-3.4150307,1.640303192,0.5773905331789949,,0.0,-5.58650042,-3.4150307,2.17146972,1.6094379124341005,8.143883511396883,0.508212,0.508212,0,1,1,0,0,1,1,0,0,1,3,2,1,1,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,11.0,6.5,-3.0,1.0,3.0,-2.0,11.0,4.0,-36.31225273,6.8300614,0.1809556592036173,-58.43710390909091,0.0,0.45144091599999997,0
5ring_oh_3ring_cn_out,cation,True,conf_1,-642.621023,True,True,-6.507062082000001,-3.7823846,2.724677482,,,,,,3.0,3550.45,0.0,100.0,,,,,,,,0.1871199999999362,-6.507062082000001,-3.7823846,2.724677482000001,1.3862943611198906,8.175111249780405,,,0,1,1,0,0,1,0,1,0,1,3,2,1,1,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,11.0,6.5,-3.0,1.0,3.0,-2.0,11.0,4.0,-42.29590353300001,7.5647692,0.227056267619777,-58.420093,0.0,0.6174032446,0
5ring_oh_3ring_cn_out,triplet,True,conf_1,-642.7856285,True,True,-5.134246952,-1.814184038,3.320062914,,,,,,3.0,4274.59,0.0,100.0,,,,,,,0.612651065298447,0.0225144999999429,-5.134246952,-1.814184038,3.320062914,1.3862943611198906,8.36067738354403,,,0,1,1,0,0,1,0,0,1,1,3,2,1,1,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,11.0,6.5,-3.0,1.0,3.0,-2.0,11.0,4.0,-33.372605188,3.628368076,0.2766716789402675,-58.43505713636364,0.0,0.7960188742000001,0
calicene,neutral,True,conf_1,-308.1314432,True,True,-5.57969757,-0.905867506,4.673830064000001,,0.198538,-0.056204,0.2547419999999999,2.4781763942525816e-18,1.0,0.0,0.0,100.0,-308.078929,True,-4.985944822,-0.905867506,4.080077316000001,1.4289849018789629,,0.0,-5.57969757,-0.905867506,4.673830064000001,0.6931471805599453,0.0,0.2547419999999999,0.2547419999999999,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.1,-0.1,0.0,0.1,-0.5579697570000001,0.0905867506,4.673783326166738,-308.1314432,0.0,1.2021490192000002,0
calicene,cation,True,conf_1,-307.9464592,True,True,-7.139182904,-2.300995984,4.83818692,,,,,,1.0,0.0,0.0,100.0,,,,,,,,0.1849839999999858,-7.139182904,-2.300995984,4.83818692,0.6931471805599453,0.0,,,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.1,-0.1,0.0,0.1,-0.7139182904000001,0.2300995984,4.838138538614613,-307.9464592,0.0,1.251456076,0
calicene,triplet,True,conf_2,-308.0840743,True,True,-4.935603732000001,-0.792940196,4.142663536000001,,,,,,4.0,2279.74,237.2,0.0,,,,,,,1.288974085459479,0.0473688999999808,-4.935603732000001,-0.792940196,4.142663536000001,1.6094379124341005,7.732255230693337,,,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.1,-0.1,0.0,0.1,-0.4935603732,0.0792940196,4.142622109778903,-308.0840743,0.0,1.0427990608000002,0
5ring_oh_3ring_cn_both,neutral,True,conf_2,-793.134722,True,True,-4.560086412,-3.490950506,1.0691359060000003,,0.224897,-0.286746,0.5116430000000001,-4.999999999866224e-08,7.0,4932.22,1865.58,0.0,-793.126585348,False,-4.48579929,-3.490950506,0.9948487840000004,0.2214096922317643,,0.0,-4.560086412,-3.490950506,1.0691359060000003,2.079441541679836,8.503747197847241,0.5116430000000001,0.5116430000000001,0,1,1,0,0,1,1,0,0,1,3,2,1,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,11.0,6.5,-3.0,1.0,3.0,-2.0,11.0,4.0,-29.640561678000005,6.981901012,0.0890945845878462,-72.10315654545455,0.0,0.12074077180000009,0
5ring_oh_3ring_cn_both,cation,True,conf_1,-792.9886013,True,True,-5.66269234,-3.742111728,1.920580612,,,,,,8.0,4407.62,0.0,100.0,,,,,,,,0.1461206999999831,-5.66269234,-3.742111728,1.9205806120000009,2.19722457733622,8.391316994299526,,,0,1,1,0,0,1,0,1,0,1,3,2,1,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,11.0,6.5,-3.0,1.0,3.0,-2.0,11.0,4.0,-36.80750021,7.484223456,0.1600482509597909,-72.08987284545455,0.0,0.37617418359999993,0
5ring_oh_3ring_cn_both,triplet,True,conf_1,-793.1428844,True,True,-4.649884032,-1.84493292,2.8049511120000004,,,,,,8.0,4821.15,0.0,100.0,,,,,,,-0.2221103313585442,-0.0081623999999465,-4.649884032,-1.84493292,2.8049511120000004,2.19722457733622,8.480975165681595,,,0,1,1,0,0,1,0,0,1,1,3,2,1,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,11.0,6.5,-3.0,1.0,3.0,-2.0,11.0,4.0,-30.224246208,3.68986584,0.2337457312118906,-72.10389858181817,0.0,0.6414853336000002,0
5ring_cn_in,neutral,True,conf_1,-492.509538,True,True,-6.309235204,-2.220994468,4.088240736,,0.176723,-0.134456,0.311179,-1.2499999999925765e-07,1.0,0.0,0.0,100.0,-492.4973367,True,-5.96201774,-2.220994468,3.741023272,0.3320144548204131,,0.0,-6.309235204,-2.220994468,4.088240736,0.6931471805599453,0.0,0.311179,0.311179,0,0,1,0,0,1,1,0,0,1,2,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,7.0,3.5,-1.0,0.0,3.0,-3.0,7.0,2.0,-22.082323214,6.662983404,0.5110294532131835,-70.35850542857143,0.0,1.0264722208000001,0
5ring_cn_in,cation,True,conf_1,-492.291841,True,,-7.756609570000001,-3.4182960680000005,4.338313502000001,,,,,,1.0,0.0,0.0,100.0,,,,,,,,0.2176970000000437,-7.756609570000001,-3.4182960680000005,4.338313502,0.6931471805599453,0.0,,,0,0,1,0,0,1,0,1,0,1,2,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,7.0,3.5,-1.0,0.0,3.0,-3.0,7.0,2.0,-27.148133495000003,10.254888204000002,0.5422885098893627,-70.32740585714285,0.0,1.1014940506000004,0
5ring_cn_in,triplet,True,conf_1,-492.477145236,False,,-5.930452516,-3.6373478380000006,2.293104678,,,,,,4.0,4076.3,0.0,100.0,,,,,,,0.881452458309815,0.0323927640000079,-5.930452516,-3.6373478380000006,2.2931046779999997,1.6094379124341005,8.313190283629412,,,0,0,1,0,0,1,0,0,1,1,2,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,7.0,3.5,-1.0,0.0,3.0,-3.0,7.0,2.0,-20.756583806,10.912043514000002,0.2866377264528418,-70.35387789085715,0.0,0.4879314034,0
CLOFUL,neutral,True,conf_1,-2607.873221,True,True,,,,,0.092371,-0.098177,0.190548,-2.9411764706013813e-08,,,,,,False,,,,,,0.0,,,,,,0.190548,0.190548,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.0,4.0,-0.5,0.0,1.0,-1.0,0.0,0.1,,,,-2607.873221,0.0,,0
CLOFUL,cation,True,conf_1,-2607.6841035,True,True,,,,,,,,,,,,,,,,,,,,0.189117499999611,,,,,,,,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.0,4.0,-0.5,0.0,1.0,-1.0,0.0,0.1,,,,-2607.6841035,0.0,,0
CLOFUL,triplet,True,conf_1,-2607.7930512,True,False,,,,,,,,,,,,,,,,,,,2.181532495720585,0.0801698000000215,,,,,,,,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.0,4.0,-0.5,0.0,1.0,-1.0,0.0,0.1,,,,-2607.7930512,0.0,,0
5ring_oh_in,neutral,True,conf_1,-458.4697624,True,True,-4.566617148,-0.832396726,3.734220422,,0.218681,-0.259631,0.4783119999999999,1.25000000000125e-07,3.0,2279.74,0.0,100.0,-458.430565889,True,-3.735036764,-0.832396726,2.902640038,1.0665919394254029,,0.0,-4.566617148,-0.832396726,3.734220422,1.3862943611198906,7.732255230693337,0.4783119999999999,0.4783119999999999,0,1,0,0,0,1,1,0,0,1,2,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,6.0,3.0,-2.0,1.0,0.1,0.9,6.0,2.0,-13.699851444,-0.7491570534,0.5334592982010026,-76.41162706666667,0.0,0.9202661266000001,0
5ring_oh_in,cation,True,conf_1,-458.3225402,True,True,-5.722285306000001,-1.7080595780000003,4.014225728,,,,,,3.0,2982.55,0.0,100.0,,,,,,,,0.1472221999999874,-5.722285306000001,-1.7080595780000003,4.014225728,1.3862943611198906,8.000869145661998,,,0,1,0,0,0,1,0,1,0,1,2,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,6.0,3.0,-2.0,1.0,0.1,0.9,6.0,2.0,-17.166855918000003,-1.5372536202000002,0.5734599990571443,-76.38709003333334,0.0,1.0042677184000002,0
5ring_oh_in,triplet,True,conf_7,-458.4547919,True,True,-4.975876604,-1.12655196,3.849324644,,,,,,7.0,4839.98,4839.98,0.0,,,,,,,0.4073682637001087,0.0149705000000039,-4.975876604,-1.12655196,3.849324644,2.079441541679836,8.484872458553346,,,0,1,0,0,0,1,0,0,1,1,2,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,6.0,3.0,-2.0,1.0,0.1,0.9,6.0,2.0,-14.927629812,-1.013896764,0.5499027349960929,-76.40913198333332,0.0,0.9547973932,0
5ring_oh_3ring_cn_in,neutral,True,conf_1,-642.802,True,True,-4.869752144,-3.569863566,1.2998885780000002,,0.225253,-0.276387,0.50164,1.1111111111122227e-07,3.0,2847.64,0.0,100.0,-642.7953011,True,-4.5064799540000005,-3.569863566,0.9366163880000002,0.1822864474616421,,0.0,-4.869752144,-3.569863566,1.2998885779999996,1.3862943611198906,7.954596966387434,0.50164,0.50164,0,1,1,0,0,1,1,0,0,1,3,2,1,1,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,11.0,6.5,-3.0,1.0,3.0,-2.0,11.0,4.0,-31.653388936,7.139727132,0.1083239578967017,-58.43654545454546,0.0,0.18996657340000006,0
5ring_oh_3ring_cn_in,cation,True,conf_1,-642.64402,True,True,-6.022427048,-3.850957328,2.17146972,,,,,,2.0,2604.79,0.0,100.0,,,,,,,,0.1579800000000659,-6.022427048,-3.850957328,2.17146972,1.0986122886681098,7.865491171168406,,,0,1,1,0,0,1,0,1,0,1,3,2,1,1,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,11.0,6.5,-3.0,1.0,3.0,-2.0,11.0,4.0,-39.145775812,7.701914656,0.1809556592036173,-58.422183636363634,0.0,0.45144091599999997,0
5ring_oh_3ring_cn_in,triplet,True,conf_2,-642.80251,True,True,-4.779410296,-2.02588873,2.753521566,,,,,,3.0,2620.48,993.35,0.0,,,,,,,-0.0138778139989912,-0.0005099999999629,-4.779410296,-2.02588873,2.753521566,1.3862943611198906,7.871494322763572,,,0,1,1,0,0,1,0,0,1,1,3,2,1,1,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,11.0,6.5,-3.0,1.0,3.0,-2.0,11.0,4.0,-31.066166924,4.05177746,0.2294599392833839,-58.43659181818182,0.0,0.6260564698,0
sesqui_7ring_2NN+,neutral,True,conf_2,-680.5002276,True,True,-5.761741836000001,-3.004954902,2.7567869340000004,,0.280713,-0.384561,0.6652739999999999,4.1666666670756025e-08,3.0,1781.5,1463.35,0.0,-680.481985,True,-5.470035628000001,-3.004954902,2.465080726,0.4964066856402114,,0.0,-5.761741836000001,-3.004954902,2.7567869340000004,1.3862943611198906,7.485772152288451,0.6652739999999999,0.6652739999999999,0,0,0,0,0,1,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,9.0,4.5,-3.0,0.0,3.0,-3.0,8.5,2.0,-25.927838262,9.014864706,0.2901877928549549,-75.6111364,0.0,0.6270360802000001,0
sesqui_7ring_2NN+,cation,True,conf_3,-680.3307885,True,True,-6.4333191880000005,-4.098036840000001,2.335282348,,,,,,3.0,5012.54,5012.54,0.0,,,,,,,,0.1694390999999768,-6.4333191880000005,-4.098036840000001,2.335282348,1.3862943611198906,8.519897531390315,,,0,0,0,0,0,1,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,9.0,4.5,-3.0,0.0,3.0,-3.0,8.5,2.0,-28.949936346,12.294110520000002,0.2458189357695412,-75.59230983333333,0.0,0.5005847043999998,0
